Priorité,Catégorie,Fichier,Ligne,Problème,Contexte
CRITICAL,respond-to(xs),src/components/ui/checkbox/Checkbox.scss,80,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/layout/navbar/Navbar.scss,17,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/layout/navbar/Navbar.scss,30,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/layout/navbar/Navbar.scss,42,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/layout/navbar/Navbar.scss,110,Breakpoint xs utilisé mais mobile doit être base,"          @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/features/taches/train-progress-bar/TrainProgressBar.scss,132,Breakpoint xs utilisé mais mobile doit être base,"        @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/features/taches/train-progress-bar/TrainProgressBar.scss,169,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/features/taches/taches-dnd/TachesDnd.scss,11,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/features/taches/taches-dnd/TachesDnd.scss,115,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/features/recompenses/selected-recompense/SelectedRecompense.scss,38,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/features/recompenses/selected-recompense/SelectedRecompense.scss,49,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/features/recompenses/selected-recompense/SelectedRecompense.scss,55,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/shared/card/base-card/BaseCard.scss,19,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/shared/card/edition-card/EditionCard.scss,11,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/shared/card/tableau-card/TableauCard.scss,24,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/shared/layout/Layout.scss,29,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/shared/lang-selector/LangSelector.scss,35,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/shared/lang-selector/LangSelector.scss,41,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/shared/theme-toggle/ThemeToggle.scss,27,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/components/shared/theme-toggle/ThemeToggle.scss,33,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/tableau/Tableau.scss,30,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/tableau/Tableau.scss,62,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/tableau/Tableau.scss,72,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/tableau/Tableau.scss,77,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/not-found/NotFound.scss,17,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/not-found/NotFound.scss,27,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/not-found/NotFound.scss,43,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/not-found/NotFound.scss,48,Breakpoint xs utilisé mais mobile doit être base,"  @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/edition/Edition.scss,23,Breakpoint xs utilisé mais mobile doit être base,"      @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/edition/Edition.scss,67,Breakpoint xs utilisé mais mobile doit être base,"      @include respond-to(xs) {"
CRITICAL,respond-to(xs),src/pages/edition/Edition.scss,91,Breakpoint xs utilisé mais mobile doit être base,"    @include respond-to(xs) {"
CRITICAL,Animation lente,src/tools/permissions-debug/PermissionsDebug.scss,75,Animation >150ms (TSA-unsafe),"        transition: all 0.2s ease;"
CRITICAL,Animation lente,src/tools/permissions-debug/PermissionsDebug.scss,112,Animation >150ms (TSA-unsafe),"        transition: border-color 0.2s ease;"
CRITICAL,Animation lente,src/tools/permissions-debug/PermissionsDebug.scss,142,Animation >150ms (TSA-unsafe),"        transition: all 0.2s ease;"
CRITICAL,Animation lente,src/tools/permissions-debug/PermissionsDebug.scss,248,Animation >150ms (TSA-unsafe),"      transition: background-color 0.2s ease;"
CRITICAL,Animation lente,src/tools/permissions-debug/PermissionsDebug.scss,340,Animation >150ms (TSA-unsafe),"          transition: all 0.2s ease;"
CRITICAL,Animation lente,src/components/ui/input/Input.scss,49,Animation >150ms (TSA-unsafe),"  transition: opacity 0.2s ease;"
CRITICAL,Animation lente,src/components/ui/password-checklist/PasswordChecklist.scss,32,Animation >150ms (TSA-unsafe),"  transition: transform 200ms ease;"
CRITICAL,Animation lente,src/components/ui/upload-progress/UploadProgress.scss,28,Animation >150ms (TSA-unsafe),"    transition: width 0.3s ease;"
CRITICAL,Animation lente,src/components/layout/navbar/Navbar.scss,178,Animation >150ms (TSA-unsafe),"  transition: background 150ms ease;"
CRITICAL,Animation lente,src/components/features/settings/DeleteAccountGuard.scss,64,Animation >150ms (TSA-unsafe),"  transition: outline-color 0.2s ease;"
CRITICAL,Animation lente,src/components/features/admin/QuotaManagement.scss,121,Animation >150ms (TSA-unsafe),"        transition: all 0.2s ease;"
CRITICAL,Animation lente,src/components/features/admin/QuotaManagement.scss,217,Animation >150ms (TSA-unsafe),"          transition: all 0.2s ease;"
CRITICAL,Animation lente,src/components/features/admin/QuotaManagement.scss,232,Animation >150ms (TSA-unsafe),"          transition: all 0.2s ease;"
CRITICAL,Animation lente,src/components/features/admin/AccountManagement.scss,106,Animation >150ms (TSA-unsafe),"    transition: all 0.2s ease;"
CRITICAL,Animation lente,src/components/features/admin/AccountManagement.scss,222,Animation >150ms (TSA-unsafe),"        transition: all 0.2s ease;"
